X, Y, T, Action
-0.0341576, 0.0202631, 2.28266, GoToPosition
-0.0532439, 0.0423938, 2.28265, GoAhead
-0.0627846, 0.0534557, 2.28265, GoAhead
-0.0691598, 0.0608379, 2.28265, GoToPosition
-0.0755244, 0.0682099, 2.28266, GoAhead
-0.0850787, 0.0792769, 2.28266, GoToPosition
-0.0946324, 0.0903326, 2.28266, GoAhead
-0.104173, 0.101395, 2.28265, GoToPosition
-0.113712, 0.112444, 2.28267, GoAhead
-0.123239, 0.123487, 2.28272, GoAhead
-0.142322, 0.145624, 2.28272, GoToPosition
-0.151879, 0.156709, 2.28274, GoAhead
-0.164593, 0.171449, 2.28273, GoToPosition
-0.174139, 0.182509, 2.28273, GoAhead
-0.183701, 0.193601, 2.28275, GoToPosition
-0.193246, 0.204664, 2.28273, GoAhead
-0.205953, 0.219399, 2.28272, GoAhead
-0.215521, 0.230495, 2.28272, GoAhead
-0.228218, 0.245228, 2.28276, GoToPosition
-0.24731, 0.26736, 2.28279, GoToPosition
-0.256854, 0.278412, 2.2828, GoAhead
-0.266397, 0.289469, 2.28279, GoToPosition
-0.279117, 0.304209, 2.28277, GoAhead
-0.288663, 0.315259, 2.28277, GoAhead
-0.307769, 0.337402, 2.28277, GoAhead
-0.326865, 0.359532, 2.28279, GoAhead
-0.345942, 0.381639, 2.28276, GoAhead
-0.36825, 0.407475, 2.28274, GoAhead
-0.387323, 0.429589, 2.28275, GoAhead
-0.400047, 0.444333, 2.28275, GoToPosition
-0.406418, 0.451715, 2.28277, GoAhead
-0.422334, 0.470161, 2.28276, GoAhead
-0.431855, 0.481197, 2.28276, GoToPosition
-0.444591, 0.495959, 2.28276, GoAhead
-0.454127, 0.507016, 2.28274, GoToPosition
-0.463683, 0.518094, 2.28273, GoAhead
-0.473225, 0.529153, 2.28273, GoToPosition
-0.485939, 0.543897, 2.28272, GoAhead
-0.50502, 0.566012, 2.28269, GoAhead
-0.527298, 0.591839, 2.28268, GoAhead
-0.546385, 0.613969, 2.28268, GoAhead
-0.56867, 0.639795, 2.28268, GoToPosition
-0.578211, 0.650852, 2.28269, GoAhead
